strain,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,ana360,psilabs,sclabs
13,,,,,,,,,,,,,,,,,,,,,,,,,,,12.344999999999999,0.365,,,,0.04,2.7649999999999997,0.08499999999999999,,,0.05,0.085,,,2,0,0
13-dutch-treat-shatter,,,,,,,,0.7,,,,,7.98,,0.0,,0.0,0.0,,0.89,0.0,,0.0,2.53,,,49.1,2.69,,,,,0.64,,,,2.42,,0.4,,1,0,0
13-flavors,,,,,,,,0.35,,,,,0.0,,0.0,,0.3,0.0,,1.16,1.04,,0.0,0.0,,,13.24,0.41,,,,,0.14,,,,0.12,,0.05,,1,0,0
13-pink,,,,,,,,0.39,,,,,3.49,,0.0,,0.13,0.71,,0.31,0.17,,0.0,4.11,,,13.12,0.47,,,,,0.16,0.1,,,0.83,0.33,0.04,,1,0,0
13-wax,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,1.57,,0.0,0.0,,,82.09,4.2,0.4,,,0.24,0.33,0.35,,,1.16,,0.13,,1,0,0
130220-hash,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66,8.9,,,,,,,,,,,,,1,0,0
13072301,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.57,,,,,,0.1,,,,,0.14,,1,0,0
13072501,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.49,,,,,,2.88,,,,,0.22,,1,0,0
13800c,,,,,,,,0.39,,,,,1.55,,0.0,,0.84,0.71,,0.0,0.57,,0.0,0.0,,,13.97,0.78,,,,,0.19,0.1,,,0.3,0.35,0.04,,1,0,0
139-fl,,,,,,,,0.0,,,,,1.67,,0.0,,0.15,0.0,,0.09,0.63,,0.0,0.0,,,0.54,0.23,,,,,12.38,0.86,,,0.2,0.11,0.27,,1,0,0
139-ho,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,,1.26,0.0,,0.0,0.0,,,,23.69,,,,0.14,1.51,44.56,,,,2.75,6.38,,1,0,0
14-bb-kush-blue-dream-shatter,,,,,,,,1.22,,,,,10.4,,0.0,,1.46,0.0,,1.74,0.79,,0.0,0.0,,,52.47,2.5,,,,,0.63,0.32,,,1.32,,0.22,,1,0,0
